DATE, PLUV (mm) , COTE (m) , VOLUME (Mm3) , SURFACE (Ha) , EVP (mm) , V. Evap (Mm3) , IRRIGATION (Mm3) , DEVASEMENT (Mm3) , TURBINAGE (Mm3) , FUITE (Mm3) , TRANSFERT (Mm3) , DEVERSEMENT (Mm3) , Tot Lach (Mm3) , Bilan (Mm3) , Apport(Mm3) , Perte (Mm3) 
8/1/1999, 0.0000 , 121.2800 , 44.7850 , 634.0000 , 8.9600 , 0.0426 , 0.0250 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , **** , **** , **** , **** 
8/2/1999, 0.0000 , 121.2600 , 44.6575 , 633.0000 , 10.4000 , 0.0494 , 0.0250 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0250 , -0.0531 , 0.0000 , -0.0531 
8/3/1999, 0.0000 , 121.2500 , 44.5938 , 632.5000 , 9.4500 , 0.0448 , 0.0250 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0250 , 0.0061 , 0.0061 , 0.0000 
8/4/1999, 0.0000 , 121.2400 , 44.5300 , 632.0000 , 8.4700 , 0.0401 , 0.0250 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0250 , 0.0014 , 0.0014 , 0.0000 
8/5/1999, 0.0000 , 121.2300 , 44.4663 , 631.5000 , 12.0000 , 0.0568 , 0.0250 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0250 , 0.0181 , 0.0181 , 0.0000 
8/6/1999, 0.0000 , 121.2200 , 44.4025 , 631.0000 , 12.0000 , 0.0568 , 0.0340 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0340 , 0.0270 , 0.0270 , 0.0000 
8/7/1999, 0.0000 , 121.2100 , 44.3387 , 630.5000 , 12.0900 , 0.0572 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0279 , 0.0279 , 0.0000 
8/8/1999, 0.0000 , 121.2000 , 44.2750 , 630.0000 , 12.0900 , 0.0571 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0278 , 0.0278 , 0.0000 
8/9/1999, 0.0000 , 121.1900 , 44.2112 , 629.5000 , 12.8500 , 0.0607 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0314 , 0.0314 , 0.0000 
8/10/1999, 0.0000 , 121.1700 , 44.0838 , 628.5000 , 12.8000 , 0.0603 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , -0.0327 , 0.0000 , -0.0327 
8/11/1999, 0.0000 , 121.1600 , 44.0200 , 628.0000 , 11.3400 , 0.0534 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0241 , 0.0241 , 0.0000 
8/12/1999, 0.0000 , 121.1500 , 43.9562 , 627.5000 , 9.8000 , 0.0461 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0168 , 0.0168 , 0.0000 
8/13/1999, 0.2000 , 121.1400 , 43.8925 , 627.0000 , 9.8300 , 0.0462 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0169 , 0.0169 , 0.0000 
8/14/1999, 0.1000 , 121.1300 , 43.8287 , 626.5000 , 7.7000 , 0.0362 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0069 , 0.0069 , 0.0000 
8/15/1999, 0.0000 , 121.1100 , 43.7013 , 625.5000 , 8.4700 , 0.0397 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , -0.0533 , 0.0000 , -0.0533 
8/16/1999, 0.0000 , 121.1000 , 43.6375 , 625.0000 , 7.7000 , 0.0361 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0068 , 0.0068 , 0.0000 
8/17/1999, 0.0000 , 121.0900 , 43.5737 , 624.5000 , 9.0000 , 0.0422 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0129 , 0.0129 , 0.0000 
8/18/1999, 0.0000 , 121.0800 , 43.5100 , 624.0000 , 10.5000 , 0.0491 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0199 , 0.0199 , 0.0000 
8/19/1999, 0.0000 , 121.0700 , 43.4462 , 623.5000 , 10.5000 , 0.0491 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0198 , 0.0198 , 0.0000 
8/20/1999, 0.0000 , 121.0600 , 43.3825 , 623.0000 , 10.9600 , 0.0512 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0219 , 0.0219 , 0.0000 
8/21/1999, 0.0000 , 121.0500 , 43.3188 , 622.5000 , 11.3400 , 0.0529 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0237 , 0.0237 , 0.0000 
8/22/1999, 0.0000 , 121.0200 , 43.1275 , 621.0000 , 10.9000 , 0.0508 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , -0.1060 , 0.0000 , -0.1060 
8/23/1999, 0.0000 , 121.0000 , 43.0000 , 620.0000 , 10.5000 , 0.0488 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , -0.0442 , 0.0000 , -0.0442 
8/24/1999, 0.0000 , 120.9800 , 42.8775 , 618.8000 , 10.9000 , 0.0506 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , -0.0374 , 0.0000 , -0.0374 
8/25/1999, 0.0000 , 120.9600 , 42.7550 , 617.6000 , 10.9000 , 0.0505 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , -0.0375 , 0.0000 , -0.0375 
8/26/1999, 0.0000 , 120.9500 , 42.6938 , 617.0000 , 12.0900 , 0.0559 , 0.0345 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0345 , 0.0292 , 0.0292 , 0.0000 
8/27/1999, 0.0000 , 120.9500 , 42.6938 , 617.0000 , 12.0900 , 0.0559 , 0.0310 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0310 , 0.0869 , 0.0869 , 0.0000 
8/28/1999, 0.0000 , 120.9400 , 42.6325 , 616.4000 , 10.9000 , 0.0504 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , 0.0151 , 0.0151 , 0.0000 
8/29/1999, 0.0000 , 120.9400 , 42.6325 , 616.4000 , 10.6000 , 0.0490 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , 0.0750 , 0.0750 , 0.0000 
8/30/1999, 0.0000 , 120.9300 , 42.5712 , 615.8000 , 9.0000 , 0.0416 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , 0.0063 , 0.0063 , 0.0000 
8/31/1999, 0.0000 , 120.9300 , 42.5712 , 615.8000 , 8.7000 , 0.0402 , 0.0250 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0250 , 0.0652 , 0.0652 , 0.0000 
9/1/1999, 0.0000 , 120.9200 , 42.5100 , 615.2000 , 6.0000 , 0.0277 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , -0.0076 , 0.0000 , -0.0076 
9/2/1999, 0.0000 , 120.9200 , 42.5100 , 615.2000 , 6.8000 , 0.0314 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , 0.0574 , 0.0574 , 0.0000 
9/3/1999, 0.0000 , 120.9100 , 42.4487 , 614.6000 , 6.8000 , 0.0313 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , -0.0039 , 0.0000 , -0.0039 
9/4/1999, 0.0000 , 120.9100 , 42.4487 , 614.6000 , 7.9000 , 0.0364 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , 0.0624 , 0.0624 , 0.0000 
9/5/1999, 0.0000 , 120.9000 , 42.3875 , 614.0000 , 7.2000 , 0.0332 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , -0.0021 , 0.0000 , -0.0021 
9/6/1999, 0.0000 , 120.9000 , 42.3875 , 614.0000 , 8.1000 , 0.0373 , 0.0260 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 0.0260 , 0.0633 , 0.0633 , 0.0000 
